Date,Currency,Mean,Buy,Sell
02/01/2015,US DOLLAR,90.7031,90.6239,90.7822
02/01/2015,STG POUND,140.9997,140.8611,141.1383
02/01/2015,EURO,109.3914,109.2844,109.4983
02/01/2015,SA RAND,7.8066,7.7973,7.8159
02/01/2015,KES / USHS,30.5944,30.5126,30.6762
02/01/2015,KES / TSHS,19.1835,19.1117,19.2554
02/01/2015,KES / RWF,7.5963,7.5455,7.647
02/01/2015,KES / BIF,17.155,17.0298,17.2802
02/01/2015,AE DIRHAM,24.6939,24.6716,24.7161
02/01/2015,CAN $,77.8233,77.7354,77.9113
02/01/2015,S FRANC,90.9486,90.851,91.0463
02/01/2015,JPY (100),75.3598,75.2878,75.4318
02/01/2015,SW KRONER,11.59,11.5776,11.6023
02/01/2015,NOR KRONER,12.122,12.1106,12.1334
02/01/2015,DAN KRONER,14.688,14.674,14.7021
02/01/2015,IND RUPEE,1.433,1.4317,1.4344
02/01/2015,HONGKONG DOLLAR,11.6949,11.6847,11.7051
02/01/2015,SINGAPORE DOLLAR,68.3546,68.2717,68.4374
02/01/2015,SAUDI RIYAL,24.1717,24.149,24.1944
02/01/2015,CHINESE YUAN,14.6151,14.5989,14.6314
02/01/2015,AUSTRALIAN $,73.8504,73.7678,73.933
05/01/2015,US DOLLAR,90.7944,90.7056,90.8833
05/01/2015,STG POUND,138.7694,138.6406,138.8983
05/01/2015,EURO,108.3936,108.27,108.5172
05/01/2015,SA RAND,7.7305,7.7203,7.7407
05/01/2015,KES / USHS,30.6958,30.6107,30.7809
05/01/2015,KES / TSHS,19.0541,18.9804,19.1278
05/01/2015,KES / RWF,7.5886,7.5371,7.6401
05/01/2015,KES / BIF,17.2921,16.9998,17.5844
05/01/2015,AE DIRHAM,24.7191,24.6946,24.7436
05/01/2015,CAN $,76.9021,76.8235,76.9806
05/01/2015,S FRANC,90.1633,90.0571,90.2695
05/01/2015,JPY (100),75.3919,75.3118,75.472
05/01/2015,SW KRONER,11.3851,11.3729,11.3973
05/01/2015,NOR KRONER,11.8905,11.8777,11.9032
05/01/2015,DAN KRONER,14.5583,14.5417,14.5749
05/01/2015,IND RUPEE,1.4318,1.4302,1.4333
05/01/2015,HONGKONG DOLLAR,11.7057,11.6943,11.7172
05/01/2015,SINGAPORE DOLLAR,67.9244,67.8325,68.0163
05/01/2015,SAUDI RIYAL,24.1864,24.1611,24.2117
05/01/2015,CHINESE YUAN,14.6005,14.5845,14.6164
05/01/2015,AUSTRALIAN $,73.0351,72.9454,73.1247
06/01/2015,US DOLLAR,90.8222,90.7417,90.9028
06/01/2015,STG POUND,138.6028,138.4628,138.7428
06/01/2015,EURO,108.5589,108.4328,108.685
06/01/2015,SA RAND,7.7676,7.7577,7.7774
06/01/2015,KES / USHS,30.8295,30.7471,30.9119
06/01/2015,KES / TSHS,19.0483,18.9763,19.1202
06/01/2015,KES / RWF,7.5863,7.5355,7.6371
06/01/2015,KES / BIF,17.2868,16.9962,17.5774
06/01/2015,AE DIRHAM,24.7267,24.7044,24.7489
06/01/2015,CAN $,77.3614,77.273,77.4498
06/01/2015,S FRANC,90.3614,90.2633,90.4595
06/01/2015,JPY (100),76.3533,76.2791,76.4274
06/01/2015,SW KRONER,11.473,11.4589,11.4872
06/01/2015,NOR KRONER,11.9228,11.9084,11.9373
06/01/2015,DAN KRONER,14.593,14.5779,14.608
06/01/2015,IND RUPEE,1.4329,1.4315,1.4343
06/01/2015,HONGKONG DOLLAR,11.7125,11.7021,11.7229
06/01/2015,SINGAPORE DOLLAR,68.1567,68.0733,68.2402
06/01/2015,SAUDI RIYAL,24.1999,24.1752,24.2246
06/01/2015,CHINESE YUAN,14.617,14.6032,14.6308
06/01/2015,AUSTRALIAN $,73.9611,73.8909,74.0312
07/01/2015,US DOLLAR,90.9228,90.845,91.0006
07/01/2015,STG POUND,137.6375,137.4972,137.7778
